"edu_c","tally","percent","lower_step","second_step","third_step","fourth_step","fifth_step","sixth_step","seventh_step","eigth_step","nineth_step","tenth_step","no_answer","country"
"US: No formal education",10,0.4,3.1,1.2,1.1,0,0.4,0,0,0,0,0,0,"USA"
"US: 1st, 2nd, 3rd, or 4th grade",11,0.5,0.9,0.4,0.2,1,0.5,0.5,0.1,0,1.8,0,0,"USA"
"US: 5th or 6th grade",33,1.5,2.2,1.4,1.1,2.5,0.9,1.3,1.5,1.5,0,3.4,2.1,"USA"
"US: 7th or 8th grade",40,1.8,2.9,5.8,1,1.7,2,0.4,1.5,2.6,2.3,5.2,1.2,"USA"
"US: 9th grade",35,1.6,6,3.2,0.7,2.6,1.6,1.1,0.4,0,0,5.9,0,"USA"
"US: 10th grade",49,2.2,4.4,6.4,2,5.1,1.2,1.5,0.2,0.6,0,5.2,1.6,"USA"
"US: 11th grade",54,2.4,5.4,3.8,3.4,0.2,1.8,3.3,2.1,0.4,0,12,4.3,"USA"
"US: 12th grade NO DIPLOMA",72,3.2,5.3,7.5,2,4.1,2.8,3.3,2.7,0.6,2.3,0,3.7,"USA"
"US: HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED)",683,30.6,49.7,39.3,40.6,34.8,32,25.9,16.9,22,26.8,38.1,23.2,"USA"
"US: Some college, no degree",441,19.7,11.9,19.3,26.3,18.2,26.1,16.5,16.2,15.8,9.7,1.4,26,"USA"
"US: Associate degree",189,8.5,5,6.6,9.9,8.9,7.9,10.2,8.2,6.2,0,3.2,15.1,"USA"
"US: Bachelors degree",362,16.2,1.4,4.2,8.6,15.6,15.8,23.1,20.8,27.4,16.3,4.2,17.2,"USA"
"US: Masters degree",181,8.1,1.7,0.9,1.4,4.5,6.2,9.1,21.2,11.8,30.6,8.6,3.3,"USA"
"US: Professional or Doctorate degree",74,3.3,0,0,1.6,0.9,0.8,3.8,8.4,11,10.1,12.8,2.2,"USA"
"(N)",2232,100,113,126,258,317,464,393,317,134,28,20,63,"USA"
