"finance","tally","percent","lower_step","second_step","third_step","fourth_step","fifth_step","sixth_step","seventh_step","eigth_step","nineth_step","tenth_step","no_answer"
"Fully dissatisfied",124,5.5,30.8,13.4,16.1,1.6,2.8,1.2,0.2,2.9,0,0,5.1
"2",85,3.8,9,17.3,7.8,1.1,3,1.8,1.4,0,0,0,6.9
"3",145,6.5,14.1,15.9,13.2,10.9,3.7,2.4,2.4,2,1.8,3.4,4.3
"4",203,9.1,7.2,18.8,15.5,14.6,9.5,3.3,5.3,3.9,2.1,4.2,7.6
"5",267,12,11.6,10.8,14.8,15.9,20.4,6.8,4.7,4,0,8.1,13.7
"6",258,11.6,5.2,2.6,9.6,15.2,16.5,16.4,5.8,8,2.1,0,8.8
"7",362,16.2,2.2,13.8,12,15,14.8,24.1,21.8,13.8,5.5,3.8,16.2
"8",411,18.4,10,2.2,5.8,14.2,18.3,25.2,31.7,28.4,23.6,13,8.7
"9",235,10.5,3.4,4.5,4.5,6.9,7,13.1,17.2,22.5,46.6,24,8.9
"Fully satisfied",127,5.7,6.5,0.7,0.7,4.2,3.8,5.5,9.4,14.6,18.2,43.5,2.4
"No answer",14,0.6,0,0,0,0.5,0.2,0.2,0,0,0,0,17.4
"(N)",2232,100,113,126,258,317,464,393,317,134,28,20,63
