"life","tally","percent","lower_step","second_step","third_step","fourth_step","fifth_step","sixth_step","seventh_step","eigth_step","nineth_step","tenth_step","no_answer"
"Fully dissatisfied",27,1.2,7,1.4,0.6,0.6,1.9,0,0.5,1.2,0,0,2.6
"2",29,1.3,3.6,2.4,2.2,2.4,1.5,0,0.2,0,3.3,0,0
"3",56,2.5,8.4,6.2,5.8,1.6,1.8,0.7,1.1,1.5,0,0,3.3
"4",101,4.5,13,15.9,6.3,4.1,2.9,2.9,1.6,1.5,0,3.4,6.1
"5",161,7.2,14.1,16.6,8,3.8,11.5,5.2,2.5,0.6,2.4,3.9,11.5
"6",162,7.2,2.5,2.8,12.3,8.1,9.8,6.9,5.3,1.7,4.3,0,8
"7",383,17.1,13,13.5,19.7,18.4,18.6,17.8,17.8,13.9,0,3.8,15.9
"8",672,30.1,15.6,33.3,26.8,28.4,25.8,39.8,34,35.1,22.1,17.9,21.2
"9",422,18.9,10.2,5.2,12.6,24,17.4,17,26.8,28.8,56.2,9.8,9.4
"Fully satisfied",207,9.3,12.5,2.7,4.8,8.4,8.6,9.7,10,14.9,11.8,61.2,9
"No answer",14,0.6,0,0,0.9,0.3,0.3,0,0,0.9,0,0,12.9
"(N)",2232,100,113,126,258,317,464,393,317,134,28,20,63
